bank,name,image_url,brochure_url,features,details_url,description
Kotak,IndiGo Kotak XL Credit Card,https://www.kotak.com/content/dam/Kotak/product_card_images/indigo-xl-t.jpg,,"Up to 21 IndiGo BluChips per Rs.100 spent on IndiGo flight bookings*; Welcome benefit of 4,000 IndiGo BluChips Voucher & 6E Eats voucher; Spend based milestone vouchers of up to 16,000 IndiGo BluChips",,Joining Fee: ₹ 3000 | Annual Fee: ₹ 3000
Kotak,IndiGo Kotak Credit Card,https://www.kotak.com/content/dam/Kotak/product_card_images/indigo-credit-card-base-t.jpg,,"Up to 19 IndiGo BluChips per Rs.100 spent on IndiGo flight bookings*; Welcome benefit of 2,500 IndiGo BluChips Voucher; Spend based milestone vouchers of up to 7,500 IndiGo BluChips",,Joining Fee: ₹ 1500 | Annual Fee: ₹ 1500
Kotak,Myntra Kotak Credit Card,https://www.kotak.com/content/dam/Kotak/herosliderbanner/myntra-kotak-desktop-358-x-201-t.jpg,,"Instant Discount of 7.5%* on Myntra; Cashback of 5%# on our Exclusive Partners that are Swiggy, Swiggy Instamart, PVR, Cleartrip, Urban Company; Unlimited Cashback of 1.25% on all other spends**",,Joining Fee: INR 500 | Annual Fee: INR 500
Kotak,PVR INOX Kotak Credit Card,https://www.kotak.com/content/dam/Kotak/herosliderbanner/pvr-Inox-cc-desktop-banners-adapts-358x201px.jpg,,"Unlimited* Movie Tickets: one ticket for every INR 10,000 spent on the card; 20% Instant Discount* on Food & Beverages; 5% Instant Discount* on movie tickets",,Joining Fee: ₹ 0 | Annual Fee: INR 499
Kotak,Kotak Solitaire credit card,https://www.kotak.com/content/dam/Kotak/product_card_images/solitaire-cc-358-x-201.jpg,,Earn 10 Air Miles for every ₹100 spent on travel bookings through Kotak Unbox; Unlimited Lounge access globally for you and your add on card members; Zero Forex Mark-up on all international spends and Just 1% cash withdrawal fee with no interest till payment due date,,An invite-only card crafted exclusively for the select few
Kotak,Kotak UPI RuPay Credit Card,https://www.kotak.com/content/dam/Kotak/herosliderbanner/upi-cc-website-banner-358-x-201.jpg,,Earn 3 Reward Points* per ₹100 spent; Enjoy facility of UPI Payment on Credit Card; Virtual Lifetime Free Credit Card,,Joining Fee: Nil | Annual Fee: Nil
Kotak,Mojo Platinum Credit Card,https://www.kotak.com/content/dam/Kotak/herosliderbanner/MojoCC(CardMobile358x201)_V1.jpg,,Earn unlimited 2.5 Mojo points for every Rs. 100 on online spends and 1 Mojo point for every Rs. 100 on other spends.; Get 2500 Mojo points every quarter on spends of 75000,,Joining Fees: INR 1000 | Annual Fee: INR 1000
Kotak,IndiGo 6E Rewards Credit Card,https://www.kotak.com/content/dam/Kotak/product_card_images/ka-ching-red.jpg,,"Get a welcome ticket worth Rs. 1,500; Enjoy 6E Prime add-ons worth Rs. 1099 - Get priority check-in, choice of seat, complimentary meal and assistance",,
Kotak,League Platinum Credit Card,https://www.kotak.com/content/dam/Kotak/product_card_images/Website-358-x-201-9.jpg,,"Get 4 free PVR tickets or 10,000 Reward Points on spends of Rs.1,25,000 every 6 months; Earn up to 8 Reward Points on every Rs. 150 spent across all categories; Enjoy Annual Fee waiver on annual retail spends of Rs.50,000",,"Joining Fee: INR 499/NIL | Annual Fee: INR 499 (waived at an annual spend of Rs 50,000/-)"
Kotak,Kotak 811 Credit card,https://www.kotak.com/content/dam/Kotak/product_card_images/cc-811.jpg,,"Earn 2 Reward Points for every Rs. 100 spent online; Get Rs. 750 cashback on crossing Rs. 75,000 spends every year*; Annual Fee waiver on retail spends of Rs. 50,000 in the previous anniversary year",,Joining Fee: INR 500|Annual Fee: INR 500
Kotak,IndianOil Kotak Credit card,https://www.kotak.com/content/dam/Kotak/herosliderbanner/IOCL-t.jpg,,"Save 5%* on Fuel spends at IndianOil fuel pumps; Earn 2%** back as Reward Points on Grocery and Dining spends; Annual Fee waiver on retail spends of INR 50,000 in the previous anniversary year",,Joining Fee: INR 449 | Annual Fee: INR 449
Kotak,White Credit Card,https://www.kotak.com/content/dam/Kotak/herosliderbanner/white-credit-card-product-mobile.jpg,,"Earn vouchers that can be redeemed on premium brands on meeting spend milestones; Special introductory offer – Spend Rs. 30,000 within the first 60 days of setting up the Card and receive a voucher worth Rs. 1,500",,Joining Fees: INR 3000 | Annual Fee: INR 3000
Kotak,Zen Signature Credit Card,https://www.kotak.com/content/dam/Kotak/herosliderbanner/Zen-banner-(CardMobile358x201)_V2.jpg,,Earn 10 Zen Points for every 150 spent on shopping; Earn 5 Zen points for every 150 on other spends,,Joining Fee: INR 1500 | Annual Fee: INR 1500
Kotak,PVR Kotak Platinum Credit Card,https://www.kotak.com/content/dam/Kotak/Product-Card-Images-Mobile/pvr-platinum-product-mobile.jpg,,"Get 2 free PVR tickets* every month on spends of ₹ 10,000 (each ticket up to ₹ 400); Get 15% Cashback on Food and Beverages at PVR; Get 5% Cashback on Movie tickets at PVR Box Office",,Joining Fee: INR 0 | Annual Fee: INR 999
Kotak,Kotak IndiGo 6E Rewards XL Credit,https://www.kotak.com/content/dam/Kotak/product_card_images/ka-ching-blue.jpg,,"Get a welcome ticket worth Rs. 3,000; Enjoy 6E Prime add-ons worth Rs. 1099 - Get priority check-in, choice of seat, complimentary meal and assistance",,
Kotak,Kotak Purchase Credit Card,https://www.kotak.com/content/dam/Kotak/product_card_images/purchase-credit-card-358-x-201.jpg,,Earn monthly consolidated cashbacks for all transactions; Dedicated Relationship Manager and Service Manager; Enjoy an interest-free credit period of up to 48 days,,Joining Fee: NIL Annual Fee :NIL
Kotak,811 Dream Different Credit Card,https://www.kotak.com/content/dam/Kotak/product_card_images/811-dream-different-credit-card-t.jpg,,Earn 500 bonus reward points on Activation + Rs. 5000/- spends in the first 45 days of card set up.; Earn 2 reward points against every Rs. 100/- of online spends; Earn 1 reward point against every Rs. 100/- of other* spends,,Joining Fee: INR 0|Annual Fee: INR 0
Kotak,PVR Kotak Gold Credit Card,https://www.kotak.com/content/dam/Kotak/herosliderbanner/pvr-gold-cc-h.jpg,,"Get 1 free PVR ticket* every month on spends of ₹ 10,000 ( each ticket up to Rs.400); Get 2 free PVR tickets* every month on spends of ₹ 15,000 (each ticket up to Rs.400); Get 15% Cashback on Food and Beverages at PVR",,Joining Fee: INR 0 | Annual Fee: INR 499
Kotak,White Reserve Credit Card,https://www.kotak.com/content/dam/Kotak/herosliderbanner/White-Reserve-Card_360x216.jpg,,Earn White Pass Value up to ₹ 2.5 lakhs annually; Get access to exclusive events and experiences through luxury lifestyle concierge; Unlimited global airport lounge access for primary and add-on card holders,,"Joining Fees: INR 12,500 | Annual Fee: INR 12,500"
Kotak,Kotak Infinite Credit Card,https://www.kotak.com/content/dam/Kotak/Product-Card-Images-Mobile/wealth-management-infinite-credit-card.jpg,,Personalised card design; Higher credit limit,,Joining Fee: INR 0 | Annual Fee: INR 0
Kotak,Urbane Gold Credit Card,https://www.kotak.com/content/dam/Kotak/product_card_images/new-urbane-cc-t.jpg,,"Earn 3 Reward Points against retail spends of Rs.100; Get 4 PVR tickets or 10,000 Reward Points on annual spends of Rs.1 Lac; Enjoy Annual Fee waiver on annual spends of Rs.15,000",,"Joining Fee: INR 0|Annual Fee: INR 199 (waived at an annual spend of Rs 15,000/-)"
Kotak,Corporate Gold Credit Card,https://www.kotak.com/content/dam/Kotak/Product-Card-Images-Mobile/corporate-gold-credit-card.jpg,,"Enjoy features like real-time transaction alerts, and free credit card replacement; Feel safe and secure with free SMS alerts",,Joining Fee: INR 0 | Annual Fee: INR 1000<br />
Kotak,Corporate Platinum Credit Card,https://www.kotak.com/content/dam/Kotak/Product-Card-Images-Mobile/corporate-platinum-credit-card.jpg,,Get 8 annual complimentary domestic Airport Lounge visits; Earn monthly consolidated cashbacks for all transactions; Waivers up to ₹3500 on Fuel and ₹500 on railways annually,,Joining Fee: NIL   Annual Fee :NIL
