name,amc,logo_url,category,risk_level,rating,returns_1y,returns_3y,returns_5y,details_url,nav,aum,expense_ratio,min_investment,fund_manager,inception_date,holdings,sector_allocation,description
Tata Small Cap Fund Direct Growth,Unknown,,Equity,Very High Risk,4,2.49%,28.05%,35.68%,https://groww.in/mutual-funds/tata-small-cap-fund-direct-growth,,,,,,,[],[],Fund Name: Tata Small Cap Fund Direct Growth
Motilal Oswal Large and Midcap Fund Direct Growth,Unknown,,Equity,Moderately High Risk,5,13.99%,33.74%,31.39%,https://groww.in/mutual-funds/motilal-oswal-large-and-midcap-fund-direct-growth,,,,,,,[],[],Fund Name: Motilal Oswal Large and Midcap Fund Direct Growth
HDFC Multi Cap Fund Direct Growth,Unknown,,Equity,Very High Risk,4,2.70%,27.79%,NA,https://groww.in/mutual-funds/hdfc-multi-cap-fund-direct-growth,,,,,,,[],[],Fund Name: HDFC Multi Cap Fund Direct Growth
ICICI Prudential Large Cap Fund Direct Growth,Unknown,,Equity,Very High Risk,5,6.81%,22.27%,24.00%,https://groww.in/mutual-funds/icici-prudential-large-cap-fund-direct-growth,,,,,,,[],[],Fund Name: ICICI Prudential Large Cap Fund Direct Growth
SBI Small Cap Fund Direct Growth,Unknown,,Equity,Very High Risk,3,-1.72%,22.00%,29.73%,https://groww.in/mutual-funds/sbi-small-midcap-fund-direct-growth,,,,,,,[],[],Fund Name: SBI Small Cap Fund Direct Growth
JM Flexicap Fund Direct Plan Growth,Unknown,,Equity,Very High Risk,4,-5.87%,27.74%,27.47%,https://groww.in/mutual-funds/jm-multi-strategy-fund-direct-growth,,,,,,,[],[],Fund Name: JM Flexicap Fund Direct Plan Growth
Nippon India Power & Infra Fund Direct Growth,Unknown,,Equity,Very High Risk,4,-5.36%,36.31%,33.43%,https://groww.in/mutual-funds/nippon-india-power-infra-fund-direct-growth,,,,,,,[],[],Fund Name: Nippon India Power & Infra Fund Direct Growth
Tata Gold ETF FoF Direct Growth,Unknown,,Commodities,High Risk,0,31.04%,NA,NA,https://groww.in/mutual-funds/tata-gold-etf-fof-direct-growth,,,,,,,[],[],Fund Name: Tata Gold ETF FoF Direct Growth
Axis Small Cap Fund Direct Growth,Unknown,,Equity,Very High Risk,3,7.13%,25.22%,32.07%,https://groww.in/mutual-funds/axis-small-cap-fund-direct-growth,,,,,,,[],[],Fund Name: Axis Small Cap Fund Direct Growth
SBI Contra Direct Plan Growth,Unknown,,Equity,Very High Risk,5,2.87%,26.15%,33.60%,https://groww.in/mutual-funds/sbi-contra-fund-direct-growth,,,,,,,[],[],Fund Name: SBI Contra Direct Plan Growth
